room number,stb serial number,groups
Auto101,ABCDEFGHIJ90076,Automation
Auto102,ABCDEFGHIJ90077,Automation
Auto103,ABCDEFGHIJ90078,Automation
Auto104,ABCDEFGHIJ90079,Automation
Auto105,ABCDEFGHIJ90080,Automation
Auto106,ABCDEFGHIJ90081,
Auto107,ABCDEFGHIJ90082,
Auto108,ABCDEFGHIJ90083,
Auto109,ABCDEFGHIJ90084,
Auto110,ABCDEFGHIJ90085,
Auto111,ABCDEFGHIJ90086,
Auto112,ABCDEFGHIJ90087,
Auto113,ABCDEFGHIJ90088,
Auto114,ABCDEFGHIJ90089,
Auto115,ABCDEFGHIJ90090,
Auto116,ABCDEFGHIJ90091,
Auto117,ABCDEFGHIJ90092,
Auto118,ABCDEFGHIJ90093,
Auto119,ABCDEFGHIJ90094,
Auto120,ABCDEFGHIJ90095,
Auto121,ABCDEFGHIJ90096,
Auto122,ABCDEFGHIJ90097,
Auto123,ABCDEFGHIJ90098,
Auto124,ABCDEFGHIJ90099,
Auto125,ABCDEFGHIJ90100,
