room number,stb serial number,groups
Auto101,ABCDEFGHIJ90051,Automation
Auto102,ABCDEFGHIJ90052,Automation
Auto103,ABCDEFGHIJ90053,Automation
Auto104,ABCDEFGHIJ90054,Automation
Auto105,ABCDEFGHIJ90055,Automation
Auto106,ABCDEFGHIJ90056,Automation
Auto107,ABCDEFGHIJ90057,Automation
Auto108,ABCDEFGHIJ90058,Automation
Auto109,ABCDEFGHIJ90059,Automation
Auto110,ABCDEFGHIJ90060,Automation
Auto111,ABCDEFGHIJ90061,Automation
Auto112,ABCDEFGHIJ90062,Automation
Auto113,ABCDEFGHIJ90063,Automation
Auto114,ABCDEFGHIJ90064,Automation
Auto115,ABCDEFGHIJ90065,Automation
Auto116,ABCDEFGHIJ90066,Automation
Auto117,ABCDEFGHIJ90067,Automation
Auto118,ABCDEFGHIJ90068,Automation
Auto119,ABCDEFGHIJ90069,Automation
Auto120,ABCDEFGHIJ90070,Automation
Auto121,ABCDEFGHIJ90071,Automation
Auto122,ABCDEFGHIJ90072,Automation
Auto123,ABCDEFGHIJ90073,Automation
Auto124,ABCDEFGHIJ90074,Automation
Auto125,ABCDEFGHIJ90075,Automation
